age_c,meno,racenci_c,famhx_c,benbiopresult_c,density_c,BMIgrp,cumrisk_6yr_ann,cumrisk_6yr_bie,cumrisk_6yr_ann_AgeRaceMean,cumrisk_6yr_bie_AgeRaceMean,prevalence
40,0,1,1,6,2,1,0.0021582131,8.745427E-11,0.0013933214,0.0019047642,3.3893149E-7
40,0,1,1,6,2,2,0.0028356963,1.500501E-10,0.0013933214,0.0019047642,0
40,0,1,1,6,2,3,0.0029828409,1.342786E-10,0.0013933214,0.0019047642,0
40,0,1,1,6,2,4,0.0039489572,1.226914E-10,0.0013933214,0.0019047642,0
40,0,1,1,6,3,0,0.0032699246,1.300957E-10,0.0013933214,0.0019047642,0
40,0,1,1,6,3,1,0.0049161623,1.597758E-10,0.0013933214,0.0019047642,6.7786298E-7
40,0,1,1,6,3,2,0.0064552101,2.746302E-10,0.0013933214,0.0019047642,9.0381731E-8
40,0,1,1,6,3,3,0.0068122279,2.450118E-10,0.0013933214,0.0019047642,3.3893149E-7
40,0,1,1,6,3,4,0.0089702847,2.246774E-10,0.0013933214,0.0019047642,0
40,0,1,1,6,4,0,0.0037345935,1.697503E-10,0.0013933214,0.0019047642,0
40,0,1,1,6,4,1,0.0056453622,2.097131E-10,0.0013933214,0.0019047642,6.7786298E-7
40,0,1,1,6,4,2,0.0074185097,3.607338E-10,0.0013933214,0.0019047642,3.3893149E-7
40,0,1,1,6,4,3,0.0078272848,3.218474E-10,0.0013933214,0.0019047642,0
40,0,1,1,6,4,4,0.0103219633,2.950486E-10,0.0013933214,0.0019047642,0
40,0,2,0,2,1,0,0.0002528323,0.0003223487,0.0025167692,0.0023912889,1.1575784E-6
40,0,2,0,2,1,1,0.0003718428,0.0003962539,0.0025167692,0.0023912889,5.9325894E-6
40,0,2,0,2,1,2,0.0004906872,0.000679925,0.0025167692,0.0023912889,8.6818382E-6
40,0,2,0,2,1,3,0.0005159223,0.0006069748,0.0025167692,0.0023912889,0.0000471713
40,0,2,0,2,1,4,0.0006821874,0.00055132,0.0025167692,0.0023912889,0.000108523
40,0,2,0,2,2,0,0.0006102372,0.0008081745,0.0025167692,0.0023912889,0.0000136015
40,0,2,0,2,2,1,0.0009076621,0.0009775603,0.0025167692,0.0023912889,0.0000902911
40,0,2,0,2,2,2,0.0011938414,0.001679305,0.0025167692,0.0023912889,0.0002270301
40,0,2,0,2,2,3,0.0012545326,0.0014969873,0.0025167692,0.0023912889,0.0003492993
40,0,2,0,2,2,4,0.0016638157,0.0013722398,0.0025167692,0.0023912889,0.0004693981
40,0,2,0,2,3,0,0.001398948,0.0014808387,0.0025167692,0.0023912889,0.0000308205
40,0,2,0,2,3,1,0.0020786067,0.0017977985,0.0025167692,0.0023912889,0.0003034302
40,0,2,0,2,3,2,0.0027328619,0.0030912283,0.0025167692,0.0023912889,0.0004296063
40,0,2,0,2,3,3,0.0028830622,0.0027547321,0.0025167692,0.0023912889,0.0003840266
40,0,2,0,2,3,4,0.0038068244,0.0025340334,0.0025167692,0.0023912889,0.0002672559
40,0,2,0,2,4,0,0.0016010113,0.0019420173,0.0025167692,0.0023912889,0.0000169296
40,0,2,0,2,4,1,0.0023899422,0.0023710021,0.0025167692,0.0023912889,0.00013862
40,0,2,0,2,4,2,0.0031451686,0.0040783582,0.0025167692,0.0023912889,0.0000905805
40,0,2,0,2,4,3,0.0033173115,0.0036397407,0.0025167692,0.0023912889,0.000074085
40,0,2,0,2,4,4,0.0043895394,0.0033490555,0.0025167692,0.0023912889,0.0000412387
40,0,2,0,3,1,0,0.0004332537,0.0005779657,0.0025167692,0.0023912889,2.8939461E-7
40,0,2,0,3,1,1,0.0006423627,0.0007116344,0.0025167692,0.0023912889,0
40,0,2,0,3,1,2,0.0008478269,0.0012221675,0.0025167692,0.0023912889,2.8939461E-7
40,0,2,0,3,1,3,0.0008905691,0.0010907488,0.0025167692,0.0023912889,5.6431948E-6
40,0,2,0,3,1,4,0.0011806326,0.0009909888,0.0025167692,0.0023912889,8.103049E-6
40,0,2,0,3,2,0,0.0010489988,0.0014473079,0.0025167692,0.0023912889,5.7878921E-7
40,0,2,0,3,2,1,0.0015734418,0.0017540214,0.0025167692,0.0023912889,0.0000104182
40,0,2,0,3,2,2,0.0020699862,0.0030154537,0.0025167692,0.0023912889,0.0000221387
40,0,2,0,3,2,3,0.0021732145,0.0026872569,0.0025167692,0.0023912889,0.0000376213
40,0,2,0,3,2,4,0.0028890879,0.0024637806,0.0025167692,0.0023912889,0.0000283607
40,0,2,0,3,3,0,0.0023998811,0.0026507129,0.0025167692,0.0023912889,4.1962218E-6
40,0,2,0,3,3,1,0.0035956911,0.0032228437,0.0025167692,0.0023912889,0.0000389236
40,0,2,0,3,3,2,0.0047278583,0.0055437443,0.0025167692,0.0023912889,0.0000522357
40,0,2,0,3,3,3,0.00498227,0.0049383827,0.0025167692,0.0023912889,0.0000480395
40,0,2,0,3,3,4,0.0065932517,0.0045440344,0.0025167692,0.0023912889,0.0000245985
40,0,2,0,3,4,0,0.002748337,0.0034720993,0.0025167692,0.0023912889,5.2091029E-6
40,0,2,0,3,4,1,0.0041381667,0.0042441439,0.0025167692,0.0023912889,0.0000273478
40,0,2,0,3,4,2,0.0054453794,0.0073017749,0.0025167692,0.0023912889,0.0000231516
40,0,2,0,3,4,3,0.0057379556,0.0065132643,0.0025167692,0.0023912889,0.0000153379
40,0,2,0,3,4,4,0.007607849,0.0059961529,0.0025167692,0.0023912889,6.3666813E-6
40,0,2,0,4,1,0,0.0003448428,0.0004195351,0.0025167692,0.0023912889,0
40,0,2,0,4,1,1,0.0005050338,0.0005162504,0.0025167692,0.0023912889,0
40,0,2,0,4,1,2,0.0006676852,0.0008841574,0.0025167692,0.0023912889,1.446973E-7
40,0,2,0,4,1,3,0.0007014515,0.0007906539,0.0025167692,0.0023912889,2.8939461E-7
40,0,2,0,4,1,4,0.0009276246,0.0007176487,0.0025167692,0.0023912889,3.9068272E-6
40,0,2,0,4,2,0,0.0008307461,0.0010502736,0.0025167692,0.0023912889,1.3022757E-6
40,0,2,0,4,2,1,0.0012311427,0.0012725305,0.0025167692,0.0023912889,3.6174326E-6
40,0,2,0,4,2,2,0.0016222073,0.0021818433,0.0025167692,0.0023912889,6.5113786E-6
40,0,2,0,4,2,3,0.0017033235,0.0019481221,0.0025167692,0.0023912889,0.0000149038
40,0,2,0,4,2,4,0.0022592106,0.0017848684,0.0025167692,0.0023912889,0.0000177978
40,0,2,0,4,3,0,0.0019052365,0.0019282037,0.0025167692,0.0023912889,1.5916703E-6
40,0,2,0,4,3,1,0.0028199319,0.0023437267,0.0025167692,0.0023912889,0.0000221387
40,0,2,0,4,3,2,0.0037137629,0.0040219208,0.0025167692,0.0023912889,0.0000202576
40,0,2,0,4,3,3,0.0039148002,0.0035885808,0.0025167692,0.0023912889,0.0000176531
40,0,2,0,4,3,4,0.0051683016,0.0033001281,0.0025167692,0.0023912889,0.0000166402
40,0,2,0,4,4,0,0.0021833279,0.0025230545,0.0025167692,0.0023912889,1.7363676E-6
40,0,2,0,4,4,1,0.0032461328,0.0030845857,0.0025167692,0.0023912889,0.0000105629
40,0,2,0,4,4,2,0.0042789237,0.0052937059,0.0025167692,0.0023912889,6.9454705E-6
40,0,2,0,4,4,3,0.0045093623,0.0047309668,0.0025167692,0.0023912889,3.6174326E-6
40,0,2,0,4,4,4,0.0059658055,0.0043515553,0.0025167692,0.0023912889,1.0128811E-6
40,0,2,0,5,1,0,0.0002729503,0.000440444,0.0025167692,0.0023912889,0
40,0,2,0,5,1,1,0.0004018164,0.000542545,0.0025167692,0.0023912889,0
40,0,2,0,5,1,2,0.0005302348,0.0009300881,0.0025167692,0.0023912889,0
40,0,2,0,5,1,3,0.0005574536,0.0008273157,0.0025167692,0.0023912889,0
40,0,2,0,5,1,4,0.0007372011,0.0007551663,0.0025167692,0.0023912889,0
40,0,2,0,5,2,0,0.0006588297,0.0010936306,0.0025167692,0.0023912889,0
40,0,2,0,5,2,1,0.0009808929,0.0013273726,0.0025167692,0.0023912889,2.8939461E-7
40,0,2,0,5,2,2,0.0012901035,0.0022780599,0.0025167692,0.0023912889,3.328038E-6
40,0,2,0,5,2,3,0.0013554627,0.002024388,0.0025167692,0.0023912889,9.9841139E-6
40,0,2,0,5,2,4,0.0017979773,0.001862233,0.0025167692,0.0023912889,8.103049E-6
40,0,2,0,5,3,0,0.0015095907,0.0019979831,0.0025167692,0.0023912889,8.6818382E-7
40,0,2,0,5,3,1,0.0022452312,0.0024325765,0.0025167692,0.0023912889,7.3795624E-6
40,0,2,0,5,3,2,0.0029518264,0.0041776049,0.0025167692,0.0023912889,6.0772867E-6
40,0,2,0,5,3,3,0.0031133005,0.0037101457,0.0025167692,0.0023912889,5.9325894E-6
40,0,2,0,5,3,4,0.0041112005,0.0034248879,0.0025167692,0.0023912889,3.6174326E-6
40,0,2,0,5,4,0,0.0017269714,0.0026184166,0.0025167692,0.0023912889,2.6045515E-6
40,0,2,0,5,4,1,0.0025805978,0.0032045145,0.0025167692,0.0023912889,0
40,0,2,0,5,4,2,0.0033960033,0.0055045026,0.0025167692,0.0023912889,2.1704595E-6
40,0,2,0,5,4,3,0.0035809583,0.004894673,0.0025167692,0.0023912889,1.7363676E-6
40,0,2,0,5,4,4,0.0047383708,0.0045196404,0.0025167692,0.0023912889,0
40,0,2,0,6,1,0,0.0006184877,2.375141E-11,0.0025167692,0.0023912889,0
